Date,first_prize,2digit,3digit_1,3digit_2,3digit_3,3digit_4
2009-03-01,553091,67,224,238,665,295
2009-03-16,268812,36,228,929,424,063
2009-04-01,816578,50,572,363,113,044
2009-04-16,368415,33,954,179,007,570
2009-05-02,294452,11,222,549,947,301
2009-05-16,111411,54,368,838,362,892
2009-06-01,777661,26,242,097,240,642
2009-06-16,930456,15,125,044,954,179
2009-07-01,207542,66,233,107,799,385
2009-07-16,000816,94,005,177,356,836
2009-08-01,154986,92,688,239,421,374
2009-08-16,462933,96,843,292,577,658
2009-09-01,015865,32,435,447,446,924
2009-09-16,202912,48,200,353,539,166
2009-10-01,169387,06,249,435,714,255
2009-10-16,258487,00,174,135,226,122
2009-11-01,689140,85,366,923,642,465
2009-11-16,055986,58,299,952,072,536
2009-12-01,776980,59,937,188,412,252
2009-12-16,685141,05,694,775,524,142
2009-12-30,994304,87,993,337,419,598
2010-01-16,073577,67,413,459,781,646
2010-02-01,186312,14,936,577,694,403
2010-02-16,133707,03,137,026,362,985
2010-03-01,215227,97,457,627,374,470
2010-03-16,364222,97,619,996,229,756
2010-04-01,959517,22,174,663,447,040
2010-04-16,211743,96,811,744,154,285
2010-05-02,360371,06,382,040,517,618
2010-05-16,480012,12,293,151,770,008
2010-06-01,444874,81,374,298,996,673
2010-06-16,500104,73,200,628,681,816
2010-07-01,480239,68,893,450,918,961
2010-07-16,180387,34,309,219,572,024
2010-08-01,210008,10,769,182,727,191
2010-08-16,911097,64,986,578,448,689
2010-09-01,354656,11,784,570,656,096
2010-09-16,017422,66,103,316,431,075
2010-10-01,488372,02,091,996,003,246
2010-10-16,621377,42,310,518,385,872
2010-11-01,191100,59,653,968,801,739
2010-11-16,813993,43,763,979,907,129
2010-12-01,181752,09,664,470,474,086
2010-12-16,334380,24,529,315,533,306
2010-12-30,884112,49,936,153,186,933
2011-01-16,281062,23,227,185,758,546
2011-02-01,610089,55,596,361,121,432
2011-02-16,481746,27,535,510,384,388
2011-03-01,656037,97,544,357,926,396
2011-03-16,593331,96,209,945,463,737
2011-04-01,814931,01,723,584,040,036
2011-04-16,825988,44,263,213,397,593
2011-05-02,054136,85,421,945,133,524
2011-05-16,406417,05,700,044,071,889
2011-06-01,562370,46,656,346,801,556
2011-06-16,351276,88,486,167,162,582
2011-07-01,622953,51,390,160,780,463
2011-07-16,116556,12,227,052,534,609
2011-08-01,218756,12,703,583,660,221
2011-08-16,536960,62,814,345,074,005
2011-09-01,724533,85,847,021,533,821
2011-09-16,731198,28,384,645,812,589
2011-10-01,511052,15,957,104,189,499
2011-10-16,955756,83,991,057,329,507
2011-11-01,805540,54,771,380,065,221
2011-11-16,997777,57,425,551,406,993
2011-12-01,408147,02,922,253,857,739
2011-12-16,884178,21,784,235,651,295
2011-12-30,526402,65,168,026,541,597
2012-01-16,451445,81,328,150,941,639
2012-02-01,320605,32,749,426,498,598
2012-02-16,648684,18,906,214,111,420
2012-03-01,222518,79,295,135,711,199
2012-03-16,607064,08,606,333,573,350
2012-04-01,257562,69,581,074,616,332
2012-04-16,583470,62,216,088,722,754
2012-05-02,889501,29,589,597,426,468
2012-05-16,814418,31,504,309,902,101
2012-06-01,882727,38,606,576,895,399
2012-06-16,159373,51,238,790,479,547
2012-07-01,915900,60,715,656,530,611
2012-07-16,904050,11,897,224,159,042
2012-08-01,895590,50,820,599,796,745
2012-08-16,683877,28,032,612,775,730
2012-09-01,329997,07,736,598,148,639
2012-09-16,540143,79,242,752,123,770
2012-10-01,124025,58,940,554,291,873
2012-10-16,281343,28,152,089,396,868
2012-11-01,524694,63,217,188,285,338
2012-11-16,639500,15,576,560,804,627
2012-12-01,110443,43,434,553,489,303
2012-12-16,529524,72,734,745,778,008
2012-12-30,302358,00,589,864,126,832
2013-01-16,820981,08,555,196,374,334
2013-02-01,565566,66,452,695,641,782
2013-02-16,368257,09,657,708,109,386
2013-03-01,976241,37,972,721,133,775
2013-03-16,968433,52,860,959,175,529
2013-04-01,571688,53,170,430,670,725
2013-04-16,843846,86,834,862,906,828
2013-05-02,603458,07,272,359,516,830
2013-05-16,687125,56,034,261,390,945
2013-06-01,935489,90,480,713,716,768
2013-06-16,289673,69,390,098,114,502
2013-07-01,646905,51,075,284,903,904
2013-07-16,566996,86,352,210,584,526
2013-08-01,356435,82,880,451,718,329
2013-08-16,321327,20,417,945,448,201
2013-09-01,548123,05,281,570,800,045
2013-09-16,562684,63,056,235,574,754
2013-10-01,647882,14,576,324,650,028
2013-10-16,963289,60,402,529,876,952
2013-11-01,739804,47,502,020,256,173
2013-11-16,806925,28,069,304,672,753
2013-12-01,168795,27,734,766,074,980
2013-12-16,341767,79,111,228,742,826
2013-12-30,561072,48,513,750,503,275
2014-01-16,306902,52,242,077,149,510
2014-02-01,180149,95,406,492,888,976
2014-02-16,384245,01,397,530,074,521
